Year,UNIT_MEASURE,SERIES,Жасы,Аймақ,Жынысы,Өңірлер,Value
2010,пайыз,қалыпты және қатал ауытқушылық,,,,,4.05
2010,пайыз,қалыпты және қатал ауытқушылық,,,ерлер,,4.4
2010,пайыз,қалыпты және қатал ауытқушылық,,,әйелдер,,3.7
2010,пайыз,қалыпты және қатал ауытқушылық,,қала,,,4.9
2010,пайыз,қалыпты және қатал ауытқушылық,,ауыл,,,3.3
2010,пайыз,қалыпты және қатал ауытқушылық,,,,Ақмола,2.6
2010,пайыз,қалыпты және қатал ауытқушылық,,,,Ақтөбе,8.6
2010,пайыз,қалыпты және қатал ауытқушылық,,,,Алматы,3.7
2010,пайыз,қалыпты және қатал ауытқушылық,,,,Атырау,3.2
2010,пайыз,қалыпты және қатал ауытқушылық,,,,Батыс Қазақстан,1.8
2010,пайыз,қалыпты және қатал ауытқушылық,,,,Жамбыл,2.8
2010,пайыз,қалыпты және қатал ауытқушылық,,,,Қарағанды,0.4
2010,пайыз,қалыпты және қатал ауытқушылық,,,,Қостанай,0.4
2010,пайыз,қалыпты және қатал ауытқушылық,,,,Қызылорда,1.3
2010,пайыз,қалыпты және қатал ауытқушылық,,,,Маңғыстау,4.5
2010,пайыз,қалыпты және қатал ауытқушылық,,,,Оңтүстік Қазақстан,5.8
2010,пайыз,қалыпты және қатал ауытқушылық,,,,Павлодар,2.7
2010,пайыз,қалыпты және қатал ауытқушылық,,,,Солтүстік Қазақстан,1.7
2010,пайыз,қалыпты және қатал ауытқушылық,,,,Шығыс Қазақстан,8.1
2010,пайыз,қалыпты және қатал ауытқушылық,,,,Нұр-Сұлтан қаласы,4.5
2010,пайыз,қалыпты және қатал ауытқушылық,,,,Алматы қаласы,7.8
2010,пайыз,қалыпты және қатал ауытқушылық,M0T5,,,,13.4
2010,пайыз,қалыпты және қатал ауытқушылық,M6T11,,,,4.4
2010,пайыз,қалыпты және қатал ауытқушылық,M12T23,,,,2.1
2010,пайыз,қалыпты және қатал ауытқушылық,M24T35,,,,2.5
2010,пайыз,қалыпты және қатал ауытқушылық,36-47 ай,,,,2.4
2010,пайыз,қалыпты және қатал ауытқушылық,48-59 ай,,,,4.5
2010,пайыз,нормадан күшті ауытқу,,,,,1.6
2010,пайыз,нормадан күшті ауытқу,,,ерлер,,1.9
2010,пайыз,нормадан күшті ауытқу,,,әйелдер,,1.4
2010,пайыз,нормадан күшті ауытқу,,қала,,,2.1
2010,пайыз,нормадан күшті ауытқу,,ауыл,,,1.3
2010,пайыз,нормадан күшті ауытқу,,,,Ақмола,0.9
2010,пайыз,нормадан күшті ауытқу,,,,Ақтөбе,3.9
2010,пайыз,нормадан күшті ауытқу,,,,Алматы,2.0
2010,пайыз,нормадан күшті ауытқу,,,,Атырау,1.9
2010,пайыз,нормадан күшті ауытқу,,,,Батыс Қазақстан,1.1
2010,пайыз,нормадан күшті ауытқу,,,,Жамбыл,1.4
2010,пайыз,нормадан күшті ауытқу,,,,Қарағанды,0.4
2010,пайыз,нормадан күшті ауытқу,,,,Қостанай,0.0
2010,пайыз,нормадан күшті ауытқу,,,,Қызылорда,0.2
2010,пайыз,нормадан күшті ауытқу,,,,Маңғыстау,1.7
2010,пайыз,нормадан күшті ауытқу,,,,Оңтүстік Қазақстан,2.0
2010,пайыз,нормадан күшті ауытқу,,,,Павлодар,1.5
2010,пайыз,нормадан күшті ауытқу,,,,Солтүстік Қазақстан,0.4
2010,пайыз,нормадан күшті ауытқу,,,,Шығыс Қазақстан,2.7
2010,пайыз,нормадан күшті ауытқу,,,,Нұр-Сұлтан қаласы,2.8
2010,пайыз,нормадан күшті ауытқу,,,,Алматы қаласы,3.0
2010,пайыз,нормадан күшті ауытқу,M0T5,,,,7.4
2010,пайыз,нормадан күшті ауытқу,M6T11,,,,1.0
2010,пайыз,нормадан күшті ауытқу,M12T23,,,,0.6
2010,пайыз,нормадан күшті ауытқу,M24T35,,,,1.2
2010,пайыз,нормадан күшті ауытқу,36-47 ай,,,,0.7
2010,пайыз,нормадан күшті ауытқу,48-59 ай,,,,1.8
2010,пайыз,SN_STA_OVWGTN,,,,,13.3
2010,пайыз,SN_STA_OVWGTN,,,ерлер,,14.8
2010,пайыз,SN_STA_OVWGTN,,,әйелдер,,11.8
2010,пайыз,SN_STA_OVWGTN,,қала,,,13.7
2010,пайыз,SN_STA_OVWGTN,,ауыл,,,13.0
2010,пайыз,SN_STA_OVWGTN,,,,Ақмола,13.6
2010,пайыз,SN_STA_OVWGTN,,,,Ақтөбе,33.5
2010,пайыз,SN_STA_OVWGTN,,,,Алматы,7.6
2010,пайыз,SN_STA_OVWGTN,,,,Атырау,16.2
2010,пайыз,SN_STA_OVWGTN,,,,Батыс Қазақстан,6.6
2010,пайыз,SN_STA_OVWGTN,,,,Жамбыл,21.3
2010,пайыз,SN_STA_OVWGTN,,,,Қарағанды,6.1
2010,пайыз,SN_STA_OVWGTN,,,,Қостанай,6.6
2010,пайыз,SN_STA_OVWGTN,,,,Қызылорда,6.8
2010,пайыз,SN_STA_OVWGTN,,,,Маңғыстау,15.7
2010,пайыз,SN_STA_OVWGTN,,,,Оңтүстік Қазақстан,11.1
2010,пайыз,SN_STA_OVWGTN,,,,Павлодар,13.6
2010,пайыз,SN_STA_OVWGTN,,,,Солтүстік Қазақстан,11.6
2010,пайыз,SN_STA_OVWGTN,,,,Шығыс Қазақстан,20.2
2010,пайыз,SN_STA_OVWGTN,,,,Нұр-Сұлтан қаласы,22.1
2010,пайыз,SN_STA_OVWGTN,,,,Алматы қаласы,15.6
2010,пайыз,SN_STA_OVWGTN,M0T5,,,,9.8
2010,пайыз,SN_STA_OVWGTN,M6T11,,,,19.0
2010,пайыз,SN_STA_OVWGTN,M12T23,,,,17.4
2010,пайыз,SN_STA_OVWGTN,M24T35,,,,12.9
2010,пайыз,SN_STA_OVWGTN,36-47 ай,,,,11.6
2010,пайыз,SN_STA_OVWGTN,48-59 ай,,,,9.7
2015,пайыз,қалыпты және қатал ауытқушылық,,,,,3.1
2015,пайыз,қалыпты және қатал ауытқушылық,,,ерлер,,2.9
2015,пайыз,қалыпты және қатал ауытқушылық,,,әйелдер,,3.3
2015,пайыз,қалыпты және қатал ауытқушылық,,қала,,,3.1
2015,пайыз,қалыпты және қатал ауытқушылық,,ауыл,,,3.1
2015,пайыз,қалыпты және қатал ауытқушылық,,,,Ақмола,1.4
2015,пайыз,қалыпты және қатал ауытқушылық,,,,Ақтөбе,6.3
2015,пайыз,қалыпты және қатал ауытқушылық,,,,Алматы,4.4
2015,пайыз,қалыпты және қатал ауытқушылық,,,,Атырау,5.9
2015,пайыз,қалыпты және қатал ауытқушылық,,,,Батыс Қазақстан,1.5
2015,пайыз,қалыпты және қатал ауытқушылық,,,,Жамбыл,3.2
2015,пайыз,қалыпты және қатал ауытқушылық,,,,Қарағанды,1.6
2015,пайыз,қалыпты және қатал ауытқушылық,,,,Қостанай,4.2
2015,пайыз,қалыпты және қатал ауытқушылық,,,,Қызылорда,2.1
2015,пайыз,қалыпты және қатал ауытқушылық,,,,Маңғыстау,3.4
2015,пайыз,қалыпты және қатал ауытқушылық,,,,Оңтүстік Қазақстан,2.9
2015,пайыз,қалыпты және қатал ауытқушылық,,,,Павлодар,5.5
2015,пайыз,қалыпты және қатал ауытқушылық,,,,Солтүстік Қазақстан,1.6
2015,пайыз,қалыпты және қатал ауытқушылық,,,,Шығыс Қазақстан,1.9
2015,пайыз,қалыпты және қатал ауытқушылық,,,,Нұр-Сұлтан қаласы,1.3
2015,пайыз,қалыпты және қатал ауытқушылық,,,,Алматы қаласы,3.5
2015,пайыз,қалыпты және қатал ауытқушылық,M0T5,,,,13.7
2015,пайыз,қалыпты және қатал ауытқушылық,M6T11,,,,2.8
2015,пайыз,қалыпты және қатал ауытқушылық,M12T17,,,,1.7
2015,пайыз,қалыпты және қатал ауытқушылық,M18T23,,,,3.5
2015,пайыз,қалыпты және қатал ауытқушылық,M24T35,,,,1.8
2015,пайыз,қалыпты және қатал ауытқушылық,36-47 ай,,,,1.7
2015,пайыз,қалыпты және қатал ауытқушылық,48-59 ай,,,,1.9
2015,пайыз,нормадан күшті ауытқу,,,,,1.1
2015,пайыз,нормадан күшті ауытқу,,,ерлер,,1.1
2015,пайыз,нормадан күшті ауытқу,,,әйелдер,,1.0
2015,пайыз,нормадан күшті ауытқу,,қала,,,1.3
2015,пайыз,нормадан күшті ауытқу,,ауыл,,,0.8
2015,пайыз,нормадан күшті ауытқу,,,,Ақмола,0.2
2015,пайыз,нормадан күшті ауытқу,,,,Ақтөбе,2.5
2015,пайыз,нормадан күшті ауытқу,,,,Алматы,1.2
2015,пайыз,нормадан күшті ауытқу,,,,Атырау,3.6
2015,пайыз,нормадан күшті ауытқу,,,,Батыс Қазақстан,1.2
2015,пайыз,нормадан күшті ауытқу,,,,Жамбыл,0.9
2015,пайыз,нормадан күшті ауытқу,,,,Қарағанды,0.0
2015,пайыз,нормадан күшті ауытқу,,,,Қостанай,1.1
2015,пайыз,нормадан күшті ауытқу,,,,Қызылорда,0.7
2015,пайыз,нормадан күшті ауытқу,,,,Маңғыстау,1.0
2015,пайыз,нормадан күшті ауытқу,,,,Оңтүстік Қазақстан,0.9
2015,пайыз,нормадан күшті ауытқу,,,,Павлодар,2.4
2015,пайыз,нормадан күшті ауытқу,,,,Солтүстік Қазақстан,0.0
2015,пайыз,нормадан күшті ауытқу,,,,Шығыс Қазақстан,0.9
2015,пайыз,нормадан күшті ауытқу,,,,Нұр-Сұлтан қаласы,0.3
2015,пайыз,нормадан күшті ауытқу,,,,Алматы қаласы,1.4
2015,пайыз,нормадан күшті ауытқу,M0T5,,,,4.9
2015,пайыз,нормадан күшті ауытқу,M6T11,,,,1.0
2015,пайыз,нормадан күшті ауытқу,M12T17,,,,0.8
2015,пайыз,нормадан күшті ауытқу,M18T23,,,,0.9
2015,пайыз,нормадан күшті ауытқу,M24T35,,,,0.9
2015,пайыз,нормадан күшті ауытқу,36-47 ай,,,,0.2
2015,пайыз,нормадан күшті ауытқу,48-59 ай,,,,0.7
2015,пайыз,SN_STA_OVWGTN,,,,,9.3
2015,пайыз,SN_STA_OVWGTN,,,ерлер,,8.7
2015,пайыз,SN_STA_OVWGTN,,,әйелдер,,10.0
2015,пайыз,SN_STA_OVWGTN,,қала,,,11.2
2015,пайыз,SN_STA_OVWGTN,,ауыл,,,7.6
2015,пайыз,SN_STA_OVWGTN,,,,Ақмола,4.9
2015,пайыз,SN_STA_OVWGTN,,,,Ақтөбе,10.3
2015,пайыз,SN_STA_OVWGTN,,,,Алматы,6.3
2015,пайыз,SN_STA_OVWGTN,,,,Атырау,14.7
2015,пайыз,SN_STA_OVWGTN,,,,Батыс Қазақстан,8.0
2015,пайыз,SN_STA_OVWGTN,,,,Жамбыл,6.1
2015,пайыз,SN_STA_OVWGTN,,,,Қарағанды,6.4
2015,пайыз,SN_STA_OVWGTN,,,,Қостанай,12.5
2015,пайыз,SN_STA_OVWGTN,,,,Қызылорда,8.6
2015,пайыз,SN_STA_OVWGTN,,,,Маңғыстау,4.9
2015,пайыз,SN_STA_OVWGTN,,,,Оңтүстік Қазақстан,7.6
2015,пайыз,SN_STA_OVWGTN,,,,Павлодар,9.7
2015,пайыз,SN_STA_OVWGTN,,,,Солтүстік Қазақстан,5.6
2015,пайыз,SN_STA_OVWGTN,,,,Шығыс Қазақстан,9.2
2015,пайыз,SN_STA_OVWGTN,,,,Нұр-Сұлтан қаласы,16.2
2015,пайыз,SN_STA_OVWGTN,,,,Алматы қаласы,21.6
2015,пайыз,SN_STA_OVWGTN,M0T5,,,,5.8
2015,пайыз,SN_STA_OVWGTN,M6T11,,,,12.5
2015,пайыз,SN_STA_OVWGTN,M12T17,,,,15.1
2015,пайыз,SN_STA_OVWGTN,M18T23,,,,10.1
2015,пайыз,SN_STA_OVWGTN,M24T35,,,,10.5
2015,пайыз,SN_STA_OVWGTN,36-47 ай,,,,8.0
2015,пайыз,SN_STA_OVWGTN,48-59 ай,,,,6.5
